Nº	Nome	Gênero	Diretor	Ano Lançamento	Nota	titleId	rating_IMDB	Escritor	Ator/Atriz			
86	Invocação do Mal 2	Horror	James Wan	2016	7.5	tt3065204	7.3	James Wan	Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor			
87	El Camino	Ação	Vince Gilligan	2019	8.0	tt9243946	7.3	Vince Gilligan	Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker			
88	Laranja Mecânica	Thriller	Stanley Kubrick	1971	7.5	tt0066921	8.3	Anthony Burgess	Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke			
89	O Senhor dos Anéis: O Retorno do Rei	Aventura	Peter Jackson	2003	10	tt0167260	9.0	J.R.R. Tolkien	Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom			
90	Um Sonho de Liberdade	Drama	Frank Darabont	1994	8.5	tt0111161	9.3	Stephen King	Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler			
91	Deu a Louca em Hollywood	Comédia	Jason Friedberg	2007	4.5	tt0799949	2.4	Jason Friedberg	Kal Penn, Jennifer Coolidge, Fred Willard, Adam Campbell			
92	Vovó... Zona 3: Tal Pai, Tal Filho	Comédia	John Whitesell	2011	6.0	tt1464174	4.4	Darryl Quarles	Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Michelle Ang			
93	A Múmia	Aventura	Stephen Sommers	1999	7.5	tt0120616	7.1	Stephen Sommers	Brendan Fraser, Rachel Weisz, John Hannah			
94	A Volta do Todo Poderoso	Comédia	Tom Shadyac	2007	7.5	tt0413099	5.4	Steve Koren	Steve Carell, Morgan Freeman, Lauren Graham, Johnny Simmons			
95	O Paizão	Comédia	Dennis Dugan	1999	7.5	tt0142342	6.4	Tim Herlihy	Adam Sandler, Joey Lauren Adams, Jon Stewart, Cole Sprouse			
96	American Pie 2	Comédia	J.B. Rogers	2001	8.0	tt0252866	6.4	David H. Steinberg	Jason Biggs, Seann William Scott, Shannon Elizabeth, Alyson Hannigan			
97	O Código Da Vinci	Thriller	Ron Howard	2006	7.5	tt0382625	6.6	Dan Brown	Tom Hanks, Audrey Tautou, Jean Reno			
98	As Férias de Mr. Bean	Comédia	Steve Bendelack	2007	6.5	tt0453451	6.4	Robin Driscoll	Rowan Atkinson, Willem Dafoe, Steve Pemberton, Lily Atkinson			
99	Esposa de Mentirinha	Comédia	Dennis Dugan	2011	6.5	tt1564367	6.4	Abe Burrows	Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nicole Kidman			
100	O Ditador	Comédia	Larry Charles	2012	6.5	tt1645170	6.4	Sacha Baron Cohen	Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley			
101	Batman: A Piada Mortal	Thriller	Sam Liu	2016	6.0	tt4853102	6.4	Bill Finger	Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise			
102	Aves de Rapina	Aventura	Cathy Yan	2020	3.5	tt7713068	6.1	Christina Hodson	Margot Robbie, Rosie Perez, Mary Elizabeth Winstead			
103	Hellraiser	Horror	Clive Barker	1987	7.0	tt0093177	6.9	Clive Barker	Andrew Robinson, Clare Higgins, Ashley Laurance			
104	De Volta para o Futuro - Parte III	Aventura	Robert Zemeckis	1990	8.0	tt0099088	7.4	Bob Gale	Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Tom Wilson			
105	Harry Potter e a Câmara Secreta	Aventura	Chris Columbus	2002	7.5	tt0295297	7.4	J.K. Rowling	Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon			
106	Borat	Comédia	Larry Charles	2006	7.5	tt0443453	7.4	Sacha Baron Cohen	Sacha Baron Cohen, Ken Davitian, Luenell, Chester			
107	Piratas do Caribe: O Baú da Morte	Aventura	Gore Verbinski	2006	7.5	tt0383574	7.4	Jay Wolpert	Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport			
108	Harry Potter e a Ordem da Fênix	Aventura	David Yates	2007	7.5	tt0944836	7.4	J.K. Rowling	Ralph Fiennes, Adam Sopp, Rupert Grint, Harper Marshall, Lewis Macleod			
109	Joias Brutas	Thriller	Benny Safdie	2019	8.5	tt5727208	7.4	Ronald Bronstein	Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo			
110	O Farol	Thriller	Robert Eggers	2019	5.5	tt7984734	7.4	Max Eggers	Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes			
111	Bastardos Inglórios	Aventura	Quentin Tarantino	2009	6.5	tt0361748	8.4	Quentin Tarantino	Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent			
112	Batman - O Cavaleiro das Trevas Ressurge	Ação	Christopher Nolan	2012	7.5	tt1345836	8.4	Christopher Nolan	Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman			
113	Homem-Aranha: No Aranhaverso	Aventura	Peter Ramsey	2018	7.0	tt4633694	8.4	Phil Lord	Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali			
114	Coringa	Thriller	Todd Phillips	2019	9.0	tt7286456	8.4	Todd Phillips	Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy			
115	Bebês Geniais 2: Super Bebês	Comédia	Bob Clark	2004	2.5	tt0270846	1.5	Gregory Poppen	Jon Voight, Scott Baio, Vanessa Angel, Skyler Shaye			
116	Todo Mundo em Pânico 5	Comédia	Malcolm D. Lee	2013	5.5	tt0795461	3.5	Marlon Wayans	Simon Rex, Ashley Tisdale, Charlie Sheen, Lindsay Lohan			
117	Cinquenta Tons de Preto	Comédia	Michael Tiddes	2016	3.5	tt4667094	3.5	Rick Alvarez	Marlon Wayans, Kali Hawk, Fred Willard, Mike Epps			
118	Seis Vezes Confusão	Comédia	Michael Tiddes	2019	3.0	tt8976710	4.5	Rick Alvarez	Marlon Wayans, Bresha Webb, Michael Ian Black, Glynn Turman			
119	O Escorpião Rei	Aventura	Chuck Russell	2002	6.5	tt0277296	5.5	Stephen Sommers	Dwayne Johnson, Steven Brand, Michael Clarke Duncan, Kelly Hu			
120	Todo Mundo em Pânico 3	Comédia	David Zucker	2003	7.5	tt0306047	5.5	Marlon Wayans	Anna Faris, Charlie Sheen, Regina Hall, Pamela Anderson			
121	Meu Vizinho Mafioso 2	Comédia	Howard Deutch	2004	7.0	tt0327247	5.5	George Gallo	Bruce Willis, Matthew Perry, Natasha Henstridge, Amanda Peet			
122	Doze é Demais 2	Comédia	Adam Shankman	2005	7.0	tt0452598	5.5	Ernestine Gilbreth Carey	Steve Martin, Bonnie Hunt, Hilary Duff, Eugene Levy			
123	Os Esquenta-Banco	Comédia	Dennis Dugan	2006	6.0	tt0437863	5.5	Nick Swardson	David Spade, Jon Heder, Rob Schneider, Jon Lovitz			
124	Serpentes a Bordo	Ação	David R. Ellis	2006	6.5	tt0417148	5.5	Shamuelle David D'Alessandro	Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard			
125	Amanhecer - Parte 2	Aventura	Bill Condon	2012	7.5	tt1673434	5.5	Stephenie Meyer	Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli			
